CpordID,Wk,CpSales,VidWk,PreVidWk,PostVidWk,FpPriceDiscWk,FpEmailWk,FpCatalogWk,FpHomePgWk,FpCatPgWk,CpPriceDiscWk,CpEmailWk,CpCatalogWk,CpHomePgWk,CpCatPgWk
2759,6,167,1,0,0,0,0,0,0,1,0,0,0,0,0
2759,7,190,1,0,0,0,0,0,0,1,0,0,0,0,0
2759,8,134,1,0,0,0,0,0,0,1,0,0,0,0,0
2759,9,306,1,0,0,0,0,0,0,1,0,0,0,0,0
2759,10,178,1,0,0,0,0,0,0,1,0,0,0,0,0
2759,11,145,1,0,0,0,0,0,0,1,0,0,0,0,0
2759,12,46,1,0,0,0,0,0,0,1,0,0,0,0,0
2759,13,51,1,0,0,1,0,0,0,1,0,0,0,0,0
2759,14,72,1,0,0,0,0,0,0,1,0,0,0,0,0
2759,15,79,1,0,0,0,0,0,0,1,0,0,0,0,0
2759,16,73,1,0,0,0,0,0,0,0,0,0,0,0,0
2759,17,68,1,0,0,0,0,0,0,0,0,0,0,0,0
2759,18,77,1,0,0,0,0,0,0,0,0,0,0,0,0
2759,19,55,1,0,0,0,0,0,0,0,0,0,0,0,0
2759,20,63,1,0,0,0,0,0,0,0,0,0,0,0,0
2759,21,52,1,0,0,0,0,0,0,0,0,0,0,0,0
2759,22,51,1,0,0,0,0,0,0,0,0,0,0,0,0
2759,23,89,1,0,0,0,0,0,0,0,0,0,0,0,0
2759,24,83,1,0,0,0,0,0,0,0,0,0,0,0,0
2759,25,57,1,0,0,0,0,0,0,0,0,0,0,0,0
2759,26,48,1,0,0,1,0,0,0,0,0,0,0,0,0
2759,27,52,1,0,0,0,0,0,0,0,0,0,0,0,0
2759,28,58,1,0,0,0,0,0,0,0,0,0,0,0,0
2763,11,319,1,0,0,0,0,0,0,0,0,0,0,0,0
2763,12,97,1,0,0,0,0,0,0,0,0,0,0,0,0
2763,13,124,1,0,0,1,0,0,0,0,0,0,0,0,0
2763,14,141,1,0,0,1,0,0,0,0,0,0,0,0,0
2763,15,121,1,0,0,1,0,0,0,0,0,0,0,0,0
2763,16,90,1,0,0,1,0,0,0,0,0,0,0,0,0
2763,17,78,1,0,0,1,0,0,0,0,0,0,0,0,0
2763,18,132,1,0,0,1,0,0,0,0,0,0,0,0,0
2763,19,98,1,0,0,1,0,0,0,0,0,0,0,0,0
2763,20,158,1,0,0,1,0,0,0,0,0,0,0,0,0
2763,21,108,1,0,0,1,0,0,0,0,0,0,0,0,0
2909,19,11,1,0,0,0,0,0,0,0,0,0,0,0,0
2909,20,21,1,0,0,0,0,0,0,0,0,0,0,0,0
2909,21,31,1,0,0,0,0,0,0,0,1,0,0,0,0
2909,22,30,1,0,0,0,0,0,0,0,0,0,0,0,0
2909,23,6,1,0,0,0,0,0,0,0,0,0,0,0,0
2909,24,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2909,25,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2909,26,19,1,0,0,0,0,0,0,0,1,0,0,0,0
3042,11,50,1,0,0,0,0,0,0,0,0,0,0,0,0
3123,11,57,1,0,0,0,0,0,0,0,0,0,0,0,0
3123,12,44,1,0,0,0,0,0,0,0,0,0,0,0,0
3123,13,177,1,0,0,0,0,0,0,0,1,0,0,0,0
3123,14,73,1,0,0,0,0,0,0,0,0,0,0,0,0
3123,15,65,1,0,0,0,0,0,0,0,0,0,0,0,0
3123,16,68,1,0,0,0,0,0,0,0,0,0,0,0,0
3123,17,37,1,0,0,0,0,0,0,0,0,0,0,0,0
3123,18,69,1,0,0,0,0,0,0,0,0,0,0,0,0
3123,19,68,1,0,0,0,0,0,0,0,0,0,0,0,0
3123,20,108,1,0,0,0,0,0,0,0,0,0,0,0,0
3123,21,41,1,0,0,0,0,0,0,0,1,0,0,0,0
3309,6,1383,1,0,0,0,0,1,0,0,0,0,0,0,0
3309,7,1583,1,0,0,0,0,0,0,0,0,0,0,0,0
3309,8,1098,1,0,0,0,0,1,0,1,0,0,0,0,0
3309,9,48,1,0,0,0,0,1,0,0,0,0,0,0,0
3309,10,2405,1,0,0,0,0,0,0,0,0,0,0,0,0
3309,11,1865,1,0,0,0,0,0,0,0,0,0,0,0,0
3309,12,1115,1,0,0,0,0,0,0,0,0,0,0,0,0
3309,13,1034,1,0,0,0,0,0,0,0,0,0,0,0,0
3309,14,1257,1,0,0,0,0,1,0,0,0,0,0,0,0
3309,15,1108,1,0,0,0,0,1,0,0,0,0,0,0,0
3309,16,806,1,0,0,0,0,0,0,0,0,0,0,0,0
3484,11,83,1,0,0,0,0,0,0,0,0,0,0,0,0
3484,12,40,1,0,0,0,0,0,0,0,0,0,0,0,0
3484,13,192,1,0,0,1,0,0,0,0,1,0,0,0,0
3484,14,141,1,0,0,0,0,1,1,0,0,0,1,0,0
3484,15,122,1,0,0,0,0,1,1,0,0,0,1,0,0
3484,16,104,1,0,0,0,0,0,0,1,0,0,0,0,0
3484,17,62,1,0,0,0,0,0,0,0,0,0,0,0,0
3484,18,96,1,0,0,0,0,0,0,0,0,0,0,0,0
3484,19,73,1,0,0,0,0,0,0,0,0,0,0,0,0
3484,20,85,1,0,0,0,0,0,0,0,0,0,0,0,0
3484,21,91,1,0,0,1,0,0,0,0,1,0,0,0,0
3484,22,85,1,0,0,0,0,0,0,0,0,0,0,0,0
3484,23,61,1,0,0,0,0,0,0,0,0,0,0,0,0
3484,24,37,1,0,0,0,0,0,1,0,0,0,0,0,0
3484,25,36,1,0,0,0,0,0,1,0,0,0,0,0,0
3484,26,109,1,0,0,1,0,0,1,0,1,0,0,0,0
3484,27,158,1,0,0,1,0,0,0,0,1,0,0,0,0
3485,6,18,1,0,0,0,0,0,0,0,0,0,0,0,0
3485,7,18,1,0,0,0,0,0,0,0,0,0,0,0,0
3485,8,16,1,0,0,0,0,0,0,0,0,0,0,0,0
3485,9,17,1,0,0,0,0,0,0,0,0,0,0,0,0
3485,10,15,1,0,0,0,0,0,0,0,0,0,0,0,0
3485,11,13,1,0,0,0,0,0,0,0,0,0,0,0,0
3485,12,11,1,0,0,0,0,0,0,0,0,0,0,0,0
3490,1,19,1,0,0,0,1,0,0,0,0,0,0,0,0
3490,2,14,1,0,0,0,0,0,0,0,0,0,0,0,0
3490,3,27,1,0,0,0,0,0,0,1,0,0,0,0,0
3490,4,40,1,0,0,0,0,0,1,1,0,0,0,0,0
3490,5,48,1,0,0,0,0,0,1,1,0,0,0,0,0
3490,6,28,1,0,0,0,0,0,0,1,0,0,0,0,0
3490,7,31,1,0,0,0,0,0,0,1,0,0,0,0,0
3490,8,26,1,0,0,0,0,0,0,1,0,0,0,0,0
3490,9,60,1,0,0,0,0,0,0,1,0,0,0,0,0
3490,10,22,1,0,0,0,0,0,0,1,0,0,0,0,0
3490,11,15,1,0,0,0,0,0,0,1,0,0,0,0,0
3490,12,7,1,0,0,0,0,0,0,1,0,0,0,0,0
3490,13,15,1,0,0,0,0,0,0,1,0,0,0,0,0
3490,14,26,1,0,0,0,0,0,0,1,0,0,0,0,0
3490,15,19,1,0,0,0,0,0,0,1,0,0,0,0,0
3490,16,14,1,0,0,0,0,0,0,0,0,0,0,0,0
3490,17,7,1,0,0,0,0,0,0,0,0,0,0,0,0
3490,18,9,1,0,0,0,0,0,0,0,0,0,0,0,0
3490,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3490,20,3,1,0,0,0,0,0,0,0,0,0,0,0,0
3490,21,2,1,0,0,0,0,0,0,0,0,0,0,0,0
3490,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3490,23,3,1,0,0,0,0,0,0,0,0,0,0,0,0
3490,24,65,1,0,0,0,0,0,0,0,0,0,0,0,0
3490,25,10,1,0,0,0,0,0,0,0,1,0,0,0,0
3490,26,0,1,0,0,0,0,0,0,0,1,0,0,0,0
3490,27,0,1,0,0,0,0,0,0,0,1,0,0,0,0
3490,28,0,1,0,0,0,0,0,0,0,1,0,0,0,0
3494,11,92,1,0,0,0,0,0,0,0,0,0,0,0,0
3494,12,70,1,0,0,0,0,0,0,0,0,0,0,0,0
3494,13,272,1,0,0,0,0,0,0,0,1,0,0,0,0
3494,14,77,1,0,0,0,0,0,0,0,0,0,0,0,0
3494,15,50,1,0,0,0,0,0,0,0,0,0,0,0,0
3494,16,60,1,0,0,0,0,0,0,0,0,0,0,0,0
3494,17,47,1,0,0,0,0,0,0,0,0,0,0,0,0
3494,18,89,1,0,0,0,0,0,0,0,0,0,0,0,0
3496,6,31,1,0,0,0,0,1,0,0,0,0,0,0,0
3496,7,51,1,0,0,0,0,0,0,0,0,0,0,0,0
3496,8,39,1,0,0,0,0,1,1,0,0,0,0,0,0
3496,9,13,1,0,0,0,0,1,1,0,0,0,0,0,0
3496,10,54,1,0,0,0,0,0,0,0,0,0,0,0,0
3496,11,65,1,0,0,0,0,0,0,0,0,0,0,0,0
3496,12,35,1,0,0,0,0,0,0,0,0,0,0,0,0
3496,13,122,1,0,0,1,0,0,0,0,1,0,0,0,0
3496,14,54,1,0,0,0,0,0,0,0,0,0,0,0,0
3496,15,49,1,0,0,0,0,0,0,0,0,0,0,0,0
3496,16,75,1,0,0,0,0,0,0,0,0,0,0,0,1
3500,6,325,1,0,0,0,0,0,0,0,0,0,0,0,0
3500,7,489,1,0,0,0,0,0,0,0,0,0,0,0,0
3500,8,333,1,0,0,0,0,0,0,0,0,0,0,1,0
3500,9,21,1,0,0,0,0,0,0,0,0,0,0,1,0
3500,10,702,1,0,0,0,0,0,0,0,0,0,0,0,0
3500,11,505,1,0,0,0,0,0,0,0,0,0,0,0,0
3500,12,297,1,0,0,0,0,0,0,0,0,0,0,0,0
3500,13,179,1,0,0,0,0,0,0,0,0,0,0,0,0
3500,14,187,1,0,0,0,0,1,0,0,0,0,0,0,0
3500,15,174,1,0,0,0,0,1,0,0,0,0,0,0,0
3500,16,106,1,0,0,0,0,0,0,0,0,0,0,0,0
3500,17,118,1,0,0,0,0,0,0,0,0,0,0,0,0
3500,18,248,1,0,0,0,0,0,0,0,0,0,0,0,0
3500,19,244,1,0,0,0,0,0,0,0,0,0,0,0,0
3500,20,157,1,0,0,0,0,0,0,0,0,0,0,0,0
3500,21,106,1,0,0,0,0,0,0,0,0,0,0,0,0
3500,22,96,1,0,0,0,0,0,0,0,0,0,0,0,0
3500,23,233,1,0,0,0,0,0,0,0,0,0,0,0,0
3500,24,188,1,0,0,0,0,0,0,0,0,0,0,0,0
3500,25,118,1,0,0,0,0,0,0,0,0,0,0,0,0
3500,26,65,1,0,0,0,0,0,0,0,0,0,0,0,0
3500,27,73,1,0,0,0,0,0,0,0,0,0,0,0,0
3500,28,50,1,0,0,0,0,0,0,0,0,0,0,0,0
3506,6,26,1,0,0,0,0,0,0,0,0,0,0,0,0
3506,7,20,1,0,0,0,0,0,0,0,0,0,0,0,0
3506,8,17,1,0,0,0,0,0,0,0,0,0,0,0,0
3506,9,102,1,0,0,0,0,0,0,0,0,0,0,0,0
3506,10,65,1,0,0,0,0,0,0,0,0,0,0,0,0
3506,11,58,1,0,0,0,0,0,0,0,0,0,0,0,0
3506,12,37,1,0,0,0,0,0,0,0,0,0,0,0,0
3506,13,27,1,0,0,1,0,0,0,1,0,0,0,0,0
3506,14,63,1,0,0,0,0,0,0,0,0,0,0,0,0
3506,15,41,1,0,0,0,0,0,0,0,0,0,0,0,0
3506,16,34,1,0,0,0,0,0,0,0,0,0,0,0,0
3508,11,14,1,0,0,0,0,0,0,0,0,0,0,0,0
3508,12,12,1,0,0,0,0,0,0,0,0,0,0,0,0
3508,13,9,1,0,0,0,0,0,0,0,0,0,0,0,0
3508,14,11,1,0,0,0,0,0,1,0,0,0,0,0,0
3508,15,14,1,0,0,0,0,0,1,0,0,0,0,0,0
3508,16,14,1,0,0,0,0,0,0,1,0,0,0,0,0
3508,17,7,1,0,0,0,0,0,0,0,0,0,0,0,0
3508,18,5,1,0,0,0,0,0,0,0,0,0,0,0,0
3508,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3508,20,3,1,0,0,0,0,0,0,0,0,0,0,0,0
3508,21,5,1,0,0,0,0,0,0,0,0,0,0,0,0
3509,11,150,1,0,0,0,0,0,0,0,0,0,0,0,0
3578,11,23,1,0,0,0,0,0,0,0,0,0,0,0,0
3578,12,15,1,0,0,0,0,0,0,0,0,0,0,0,0
3578,13,52,1,0,0,1,0,0,0,0,1,0,0,0,0
3578,14,16,1,0,0,0,0,0,0,1,0,0,0,0,0
3578,15,14,1,0,0,0,0,0,0,0,0,0,0,0,0
3578,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0
3578,17,7,1,0,0,0,0,0,0,0,0,0,0,0,0
3578,18,16,1,0,0,0,0,0,0,0,0,0,0,0,0
3578,19,13,1,0,0,0,0,0,0,0,0,0,0,0,0
3578,20,17,1,0,0,0,0,0,0,0,0,0,0,0,0
3578,21,23,1,0,0,0,0,0,0,0,1,0,0,0,0
3622,6,37,1,0,0,0,0,0,0,0,0,0,0,0,0
3622,7,47,1,0,0,0,0,0,0,0,0,0,0,0,0
3622,8,30,1,0,0,0,0,0,0,0,0,0,0,0,0
3622,9,143,1,0,0,0,0,0,0,0,0,0,0,0,0
3622,10,43,1,0,0,0,0,0,0,0,0,0,0,0,0
3622,11,33,1,0,0,0,0,0,0,0,0,0,0,0,0
3622,12,24,1,0,0,0,0,0,0,0,0,0,0,0,0
3622,13,20,1,0,0,0,0,0,0,0,0,0,0,0,0
3622,14,19,1,0,0,0,0,0,0,0,0,0,0,0,0
3622,15,17,1,0,0,0,0,0,0,0,0,0,0,0,0
3622,16,21,1,0,0,0,0,0,0,0,0,0,0,0,0
3622,17,10,1,0,0,0,0,0,0,0,0,0,0,0,0
