ProdID,Wk,Month,Vid ,VidWk,PreVidWk,PostVidWk,Sales,ProdCat,ProdPrice,PriceDiscWk,EmailWk,CatalogWk,HomePgWk,CatPgWk
3935,11,3,1,1,0,0,44,5,19.9,0,0,0,0,0
3935,12,3,1,1,0,0,19,5,19.9,0,0,0,0,0
3935,13,4,1,1,0,0,22,5,19.9,0,0,0,0,0
3935,14,4,1,1,0,0,45,5,19.9,0,0,0,0,0
3935,15,4,1,1,0,0,35,5,19.9,0,0,0,0,0
3935,16,4,1,1,0,0,19,5,19.9,0,0,0,0,0
3935,17,5,1,1,0,0,9,5,19.9,0,0,0,0,0
3935,18,5,1,1,0,0,24,5,19.9,0,0,0,0,0
3935,19,5,1,1,0,0,126,5,19.9,0,0,0,0,0
3935,20,5,1,1,0,0,556,5,19.9,0,0,0,0,0
3939,6,2,1,1,0,0,149,5,16.9,0,0,0,0,0
3939,7,2,1,1,0,0,209,5,16.9,0,0,0,0,0
3939,8,2,1,1,0,0,154,5,16.9,0,0,0,0,0
3939,9,3,1,1,0,0,88,5,16.9,0,0,0,0,0
3939,10,3,1,1,0,0,404,5,16.9,0,0,0,0,0
3939,11,3,1,1,0,0,209,5,16.9,0,0,0,0,0
3939,12,3,1,1,0,0,101,5,16.9,0,0,0,0,0
3939,13,4,1,1,0,0,72,5,16.9,0,0,0,0,0
3939,14,4,1,1,0,0,160,5,16.9,0,0,0,0,0
3939,15,4,1,1,0,0,152,5,16.9,0,0,0,0,0
3939,16,4,1,1,0,0,80,5,16.9,0,0,0,0,0
3939,17,5,1,1,0,0,56,5,16.9,0,0,0,0,0
3939,18,5,1,1,0,0,126,5,16.9,0,0,0,0,0
3939,19,5,1,1,0,0,84,5,16.9,0,0,0,0,0
3939,20,5,1,1,0,0,82,5,16.9,0,0,0,0,0
3939,21,6,1,1,0,0,66,5,16.9,0,0,0,0,0
3939,22,6,1,1,0,0,57,5,16.9,0,0,0,0,0
3939,23,6,1,1,0,0,125,5,16.9,0,0,0,0,0
3939,24,6,1,1,0,0,136,5,16.9,0,0,0,0,0
3939,25,7,1,1,0,0,84,5,16.9,0,0,0,0,0
3939,26,7,1,1,0,0,75,5,16.9,0,0,0,0,0
3939,27,7,1,1,0,0,532,5,16.9,1,0,0,1,0
3939,28,7,1,1,0,0,280,5,16.9,1,0,0,0,0
3945,6,2,1,1,0,0,132,3,24.9,0,0,0,0,0
3945,7,2,1,1,0,0,177,3,24.9,0,0,0,0,0
3945,8,2,1,1,0,0,127,3,24.9,0,0,0,0,0
3945,9,3,1,1,0,0,116,3,24.9,0,0,0,0,0
3945,10,3,1,1,0,0,255,3,24.9,0,0,0,0,0
3945,11,3,1,1,0,0,229,3,24.9,0,0,0,0,0
3945,12,3,1,1,0,0,114,3,24.9,0,0,0,0,0
3945,13,4,1,1,0,0,87,3,24.9,0,0,0,0,0
3945,14,4,1,1,0,0,246,3,24.9,0,0,0,0,0
3945,15,4,1,1,0,0,270,3,24.9,0,0,0,0,0
3945,16,4,1,1,0,0,141,3,24.9,0,0,0,0,0
3946,11,3,1,1,0,0,137,5,19.9,0,0,0,0,0
3946,12,3,1,1,0,0,100,5,19.9,0,0,0,0,0
3946,13,4,1,1,0,0,57,5,19.9,0,0,0,0,0
3946,14,4,1,1,0,0,139,5,19.9,0,0,0,0,0
3946,15,4,1,1,0,0,142,5,19.9,0,0,0,0,0
3946,16,4,1,1,0,0,73,5,19.9,0,0,0,0,0
3946,17,5,1,1,0,0,57,5,19.9,0,0,0,0,0
3946,18,5,1,1,0,0,58,5,19.9,0,0,0,0,0
3946,19,5,1,1,0,0,41,5,19.9,0,0,0,0,0
3946,20,5,1,1,0,0,40,5,19.9,0,0,0,0,0
